"flpr","education0","education1","education2","education3","education4","education5","education6","education7","single","married","widowed","divorced","ss_gdp"
22.8,1,0,0,0,0,0,0,0,1,0,0,0,22.7
27.6,1,0,0,0,0,0,0,0,0,1,0,0,22.7
4.4,1,0,0,0,0,0,0,0,0,0,1,0,22.7
48.3,1,0,0,0,0,0,0,0,0,0,0,1,22.7
40.5,0,1,0,0,0,0,0,0,1,0,0,0,22.7
33.2,0,1,0,0,0,0,0,0,0,1,0,0,22.7
9.7,0,1,0,0,0,0,0,0,0,0,1,0,22.7
38.5,0,1,0,0,0,0,0,0,0,0,0,1,22.7
27.6,0,0,1,0,0,0,0,0,1,0,0,0,22.7
35.2,0,0,1,0,0,0,0,0,0,1,0,0,22.7
8.8,0,0,1,0,0,0,0,0,0,0,1,0,22.7
37.1,0,0,1,0,0,0,0,0,0,0,0,1,22.7
56.7,0,0,0,1,0,0,0,0,1,0,0,0,22.7
47.3,0,0,0,1,0,0,0,0,0,1,0,0,22.7
14.9,0,0,0,1,0,0,0,0,0,0,1,0,22.7
53.9,0,0,0,1,0,0,0,0,0,0,0,1,22.7
77.8,0,0,0,0,1,0,0,0,1,0,0,0,22.7
60,0,0,0,0,1,0,0,0,0,1,0,0,22.7
23.1,0,0,0,0,1,0,0,0,0,0,1,0,22.7
67.1,0,0,0,0,1,0,0,0,0,0,0,1,22.7
82.5,0,0,0,0,0,1,0,0,1,0,0,0,22.7
64.9,0,0,0,0,0,1,0,0,0,1,0,0,22.7
25.7,0,0,0,0,0,1,0,0,0,0,1,0,22.7
70.6,0,0,0,0,0,1,0,0,0,0,0,1,22.7
83.7,0,0,0,0,0,0,1,0,1,0,0,0,22.7
70.4,0,0,0,0,0,0,1,0,0,1,0,0,22.7
24.2,0,0,0,0,0,0,1,0,0,0,1,0,22.7
67.7,0,0,0,0,0,0,1,0,0,0,0,1,22.7
86.2,0,0,0,0,0,0,0,1,1,0,0,0,22.7
79.8,0,0,0,0,0,0,0,1,0,1,0,0,22.7
31.1,0,0,0,0,0,0,0,1,0,0,1,0,22.7
75.2,0,0,0,0,0,0,0,1,0,0,0,1,22.7
20.7,1,0,0,0,0,0,0,0,1,0,0,0,23.942
29.1,1,0,0,0,0,0,0,0,0,1,0,0,23.942
8,1,0,0,0,0,0,0,0,0,0,1,0,23.942
38.3,1,0,0,0,0,0,0,0,0,0,0,1,23.942
40.3,0,1,0,0,0,0,0,0,1,0,0,0,23.942
32.6,0,1,0,0,0,0,0,0,0,1,0,0,23.942
12.5,0,1,0,0,0,0,0,0,0,0,1,0,23.942
40.9,0,1,0,0,0,0,0,0,0,0,0,1,23.942
25.7,0,0,1,0,0,0,0,0,1,0,0,0,23.942
34.3,0,0,1,0,0,0,0,0,0,1,0,0,23.942
6.8,0,0,1,0,0,0,0,0,0,0,1,0,23.942
36.3,0,0,1,0,0,0,0,0,0,0,0,1,23.942
55.6,0,0,0,1,0,0,0,0,1,0,0,0,23.942
48.3,0,0,0,1,0,0,0,0,0,1,0,0,23.942
15.3,0,0,0,1,0,0,0,0,0,0,1,0,23.942
54.6,0,0,0,1,0,0,0,0,0,0,0,1,23.942
77.3,0,0,0,0,1,0,0,0,1,0,0,0,23.942
61.9,0,0,0,0,1,0,0,0,0,1,0,0,23.942
24,0,0,0,0,1,0,0,0,0,0,1,0,23.942
66.3,0,0,0,0,1,0,0,0,0,0,0,1,23.942
82.2,0,0,0,0,0,1,0,0,1,0,0,0,23.942
65,0,0,0,0,0,1,0,0,0,1,0,0,23.942
25.6,0,0,0,0,0,1,0,0,0,0,1,0,23.942
70.1,0,0,0,0,0,1,0,0,0,0,0,1,23.942
82.9,0,0,0,0,0,0,1,0,1,0,0,0,23.942
70.9,0,0,0,0,0,0,1,0,0,1,0,0,23.942
27.6,0,0,0,0,0,0,1,0,0,0,1,0,23.942
70.1,0,0,0,0,0,0,1,0,0,0,0,1,23.942
