"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"AUS","SOCEXP","PRIV","PC_GDP","A",1980,1.221,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1981,1.39,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1982,1.675,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1983,1.343,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1984,0.86,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1985,0.836,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1986,0.942,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1987,0.924,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1988,0.975,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1989,1.009,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1990,1.094,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1991,1.202,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1992,1.234,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1993,1.395,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1994,1.416,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1995,3.289,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1996,3.52,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1997,3.853,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1998,3.534,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",1999,4.021,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2000,3.71,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2001,4.003,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2002,3.952,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2003,3.476,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2004,2.736,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2005,2.84,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2006,2.875,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2007,5.174,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2008,4.436,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2009,4.319,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2010,4.332,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2011,4.623,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2012,4.842,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2013,5.419,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2014,6.004,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2015,6.202,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2016,6.377,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2017,6.051,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2018,5.855,NA
"AUS","SOCEXP","PRIV","PC_GDP","A",2019,5.128,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1980,10.244,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1981,10.116,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1982,11.09,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1983,11.591,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1984,11.97,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1985,12.062,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1986,11.897,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1987,12.151,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1988,11.446,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1989,11.584,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1990,13.118,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1991,14.28,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1992,15.257,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1993,15.516,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1994,15.242,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1995,16.88,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1996,16.998,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1997,16.765,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1998,17.588,NA
"AUS","SOCEXP","PUB","PC_GDP","A",1999,17.225,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2000,18.21,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2001,17.509,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2002,17.314,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2003,17.498,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2004,17.197,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2005,16.66,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2006,15.699,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2007,15.858,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2008,17.05,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2009,16.853,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2010,16.553,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2011,17.02,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2012,17.308,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2013,17.263,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2014,17.804,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2015,18.207,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2016,17.476,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2017,17.077,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2018,16.638,NA
"AUS","SOCEXP","PUB","PC_GDP","A",2019,20.451,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",1995,15.966,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",1997,15.905,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",1999,16.479,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2001,16.92,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2003,16.851,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2005,16.255,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2007,15.607,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2009,16.618,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2011,16.821,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2013,17.032,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2015,18.069,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2017,16.987,NA
"AUS","SOCEXP","PUBNET","PC_GDP","A",2019,20.351,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",1995,19.037,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",1997,19.494,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",1999,20.215,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2001,20.447,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2003,19.892,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2005,18.7,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2007,20.118,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2009,20.373,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2011,20.873,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2013,21.851,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2015,23.574,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2017,22.376,NA
"AUS","SOCEXP","TOTNET","PC_GDP","A",2019,24.89,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1980,2621.797,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1981,2654.426,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1982,2796.314,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1983,3015.619,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1984,3238.639,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1985,3350.088,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1986,3339.668,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1987,3552.515,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1988,3419.375,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1989,3524.021,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1990,3916.461,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1991,4226.956,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1992,4645.938,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1993,4869.521,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1994,4919.214,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1995,5595.206,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1996,5783.856,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1997,5903.517,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1998,6434.579,NA
"AUS","SOCEXP","PUB","USD_CAP","A",1999,6477.078,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2000,6907.679,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2001,6820.051,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2002,6875.422,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2003,7158.05,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2004,7179.741,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2005,7058.958,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2006,6809.673,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2007,6996.108,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2008,7510.388,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2009,7429.86,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2010,7362.589,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2011,7758.159,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2012,7954.757,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2013,7998.583,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2014,8303.351,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2015,8599.43,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2016,8313.147,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2017,8216.847,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2018,8050.393,NA
"AUS","SOCEXP","PUB","USD_CAP","A",2019,9745.238,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1980,2.488,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1981,0.589,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1982,0.609,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1983,0.611,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1984,0.624,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1985,2.264,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1986,0.618,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1987,0.618,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1988,0.618,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1989,0.624,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1990,2.188,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1991,2.179,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1992,2.189,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1993,2.174,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1994,2.114,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1995,2.056,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1996,1.988,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1997,1.951,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1998,1.915,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",1999,2.016,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2000,2.103,NA
